Number,Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date,Date Issued,ConstructionCost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
882,T2022025300,Building Residential - New,"Accessory Structure, Carport",081060I00100CO,4/17/2022 5:00:00 AM,4/17/2022,,0,1712 A2 SIMPKINS ST,NASHVILLE,TN,UNIT A HOMES AT 1712 A & B SIMPKINS STREET,"AMERICAN EAGLE CONSTRUCTION, LLC",CARN,CAA14U004,4142968,New carport,2,-86.81347875,36.18571434,882,37208,-9664032.248,4326205.56
883,T2022025357,Building Demolition Permit,Demolition Permit - Residential,7500012500,4/18/2022 5:00:00 AM,4/18/2022,,2000,5330 WEBER RD,HERMITAGE,TN,S/S WEBER ROAD W OF OLD HICKORY BLVD.,"WARNER, CHARLES CLARK & KATHRYN EDEN",CADM,CAZ01A001,4143162,TO DEMOLISH EXISTING BARN/ACCESSORY STRUCTURE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.,14,-86.60949366,36.19305182,883,37076,-9641324.732,4327217.622
884,T2022025301,Building Residential - New,"Accessory Structure, Carport",081060I00200CO,4/17/2022 5:00:00 AM,4/17/2022,,0,1712 B2 SIMPKINS ST,NASHVILLE,TN,UNIT B HOMES AT 1712 A & B SIMPKINS STREET,"AMERICAN EAGLE CONSTRUCTION, LLC",CARN,CAA14U004,4142969,New Carport,2,-86.81347875,36.18571434,884,37208,-9664032.248,4326205.56
885,T2022025385,Building Residential - Roofing / Siding,Single Family Residence,5211004400,4/18/2022 5:00:00 AM,4/18/2022,,0,1028 BERWICK TRL,MADISON,TN,LOT 26 SEC 2 PART 2 MADISON HGTS,ROOFSMITH RESTORATION NASHVILLE LLC,CARK,CAA01R301,4143226,"remove and replace shingles on roof. no change to footprint.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",9,-86.68695855,36.24555073,885,37115,-9649948.084,4334461.589
886,T2022025583,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",600015600,4/18/2022 5:00:00 AM,4/18/2022,,40000,2352 BAKER RD,GOODLETTSVILLE,TN,W SIDE BAKER RD N OF LICKTON PK,"DOWNEND, LARRY W  JR & TUBBS, JACQUELINE",CARN,CAA14U011,4143733,TO CONSTRUCT 24’X35’ BARN  TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …20’ MINIMUM SIDE… …20’ MINIMUM REAR SETBACK… …MAXIMUM HEIGHT 24’ TO PEAK… …NOT TO BE USED AS LIVING SPACE… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …,10,-86.76974704,36.37401133,886,37072,-9659164.057,4352207.546
887,T2022025647,Building Commercial - New,"Accessory Structure, Pools - Commercial",074160A06400CO,4/18/2022 5:00:00 AM,4/18/2022,,3449,6059 PARKHAVEN BLVD,HERMITAGE,TN,LOT 64 PARKHAVEN COMMUNITIES PH 1,CRAIGHEAD DEVELOPMENT,CACN,CAA14U018,4143822,"CONSTRUCT 2570SF SINGLE FAMILY RESIDENCE WITH 570SF GARAGE AND 309SF PORCH . PRIOR TO U&O, DEVELOPER TO PROVIDE THIRD PARTY ENGINEER CERTIFICATION OF COMPLIANCE WITH ALL APPLICABLE CONDITIONS OF SPECIFIC PLAN 2016SP-046-001/BL2016-408 AND APPROVED FINAL SITE PLAN 2016SP-046-002. NOT TO BE OVER ANY EASEMENTS. PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS...............NEW INSTALL",14,-86.64003717,36.19726373,887,37076,-9644724.82,4327798.616
888,T2022025674,Building Residential - New,Single Family Residence,9205032700,4/18/2022 5:00:00 AM,4/18/2022,,276592,3124 TORBETT ST,NASHVILLE,TN,PT LOT 6 WILLS SUB BARROW,HENDERICK INC,CARN,CAA01R301,4143684,"Singe family residential build with 2074SF single family residence with 440Sf garage and 161Sf porches. 3' side setback (must build too for first 25% of building), 20' min. rear setback and 20' min. front setback. not to be over any easements.    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",21,-86.82332396,36.15843798,888,37209,-9665128.212,4322444.151
889,T2022025703,Building Commercial - Rehab,"Medical Office, Professional Services",8213015200,4/19/2022 5:00:00 AM,4/19/2022,,0,1104 ROSA L PARKS BLVD,NASHVILLE,TN,L 31-32-101 PT 30&33 D.T.MCGAVOCK & L 8&9 CLEMMONS EMBUSH PL,Matt Dzik,CACR,CAE04B016,4143990,"Rehab for a Vanderbilt Health Clinic. POC: Matt Dzik, (847) 212-1933.",19,-86.79092573,36.17377464,889,37208,-9661521.658,4324558.915
890,T2022025711,Building Commercial - Rehab,"Medical Office, Professional Services",11714013500,4/19/2022 5:00:00 AM,4/19/2022,,0,2101 ABBOTT MARTIN RD,NASHVILLE,TN,S W CORNER HILLSBORO PIKE AND ABBOTT MARTIN ROAD,Matthew Dzik,CACR,CAE04B016,4144013,"Rehab for Vanderbilt Health Clinic. POC: Matthew Dzik, 708-401-1000 x9197.",25,-86.81484014,36.10564391,890,37215,-9664183.798,4315167.565
891,T2022025722,Building Residential - New,"Accessory Structure, Pools - Residential",11503002600,4/19/2022 5:00:00 AM,4/19/2022,,156200,741 B BROOK HOLLOW RD,NASHVILLE,TN,LOT 94 SEC 2 BROOK MEADE,OAK GROVE OUTDOOR LIVING LLC,CARN,CAA14U017,4144045,"TO INSTALL AN INGROUND POOL TO REAR OF EXISTING RESIDENCE. NOT TO INSTALL OVER OR OBSTRUCT ANY SETBACKS OR EASEMENTS. AS OF JANUARY 1, 2011, THE TENNESSEE GENERAL ASSEMBLY REQUIRES THAT ALL RESIDENTIAL POOLS/ HOT TUBS GREATER THAN 36  IN DEPTH SHALL INSTALL A POOL ALARM BEFORE USING OR MAKING AVAILABLE FOR USE A SWIMMING POOL. RECEIPT FOR POOL ALARM IS ATTACHED. ENCLOSURE TO COMPLY WITH APPLICABLE FENCING CODES/REQUIREMENTS. FOR EVERY 50' SITE FRONTAGE, A 24  X 36  D/F SIGN MUST BE PLACED IN ENGLISH AND SPANISH WITH INFORMATION IN REGARDS TO METRO COUNCIL BILL 2017-835.",23,-86.88708049,36.12306244,891,37205,-9672225.557,4317567.813
892,T2022025733,Building Use & Occupancy,Master Permit Application,8107062600,4/19/2022 5:00:00 AM,4/19/2022,,5000,1708 MCDANIEL ST,NASHVILLE,TN,LOT 34 A. C. DUDLEY,RESPEN BUILDERS INC,CAUO,CAZ03A001,4144093,updating electrical,2,-86.81322411,36.18387816,892,37208,-9664003.902,4325952.31
893,T2022025726,Building Commercial - Rehab,"General Office, Professional Services",10404024200,4/19/2022 5:00:00 AM,4/19/2022,,0,2215 GARLAND AVE,NASHVILLE,TN,N E CORNER OF PIERCE AVE & 24TH AVE S,HELEN MUI,CACR,CAD02B016,4144052,full renovation of the Sloan Conference Room. An add  alternative was included to change the Conference Room Kitchen into (2) offices and (1)  storage room.  POC HELEN MUI,18,-86.80243587,36.14215478,893,37232,-9662802.961,4320199.322
894,T2022025817,Building Residential - Addition,"Accessory Structure, Decks",104160J00500CO,4/19/2022 5:00:00 AM,4/19/2022,,72829,1701 BLAIR BLVD 1,NASHVILLE,TN,UNIT 5 THE JENKINS,THIRD HILL CONSTRUCTION PLLC,CARA,CAA14U015,4144353,"Install new deck over existing structure. Install new outdoor plugs, lighting, and switches. Install grill to existing gas hook up. Lines previously installed. Install water line hook up for outdoor kitchen and shower. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.    Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",18,-86.79581744,36.12950406,894,37212,-9662066.2,4318455.594
895,T2022025871,Building Commercial - Rehab,"General Office, Professional Services",083020W00200CO,4/19/2022 5:00:00 AM,4/19/2022,,2000,1101 CHAPEL AVE 108,NASHVILLE,TN,UNIT EASTWOOD VILLAGE CONDOMINIUM,HALIE CHANDLIET,CACR,CAD02B016,4144593,Use Permit for Novelette Bookstore. No Work Being Done.   POC HALIE CHANDLIER.  SP Zoning…..  NOTE: SEE ALSO PERMIT 2021081214 FOR SAME TENANT.  POC MOLLY SIMMONS,6,-86.73787234,36.18895479,895,37206,-9655615.781,4326652.505
896,T2022025893,Building Residential - Rehab,Single Family Residence,14807007000,4/19/2022 5:00:00 AM,4/19/2022,,45000,1511 DENISE CT,ANTIOCH,TN,LOT 813 CHEROKEE HILLS SEC. 8,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARR,CAA01R301,4144661,"To convert 1,000 SF of basement/garage to living space. No 220 plug and range. Not an accessory apartment. Must have interior stairs to first floor. POC: Ingrid Duarte-Reyes, 615-707-5558. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.  Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",28,-86.68622733,36.07493522,896,37013,-9649866.685,4310937.248
897,T2022025899,Building Residential - Addition,Single Family Residence,15005003200,4/19/2022 5:00:00 AM,4/19/2022,,115663,2970 ANDERSON RD,NASHVILLE,TN,LOT 341 CHERRY HILLS SEC. 1,Aghabee General Contractors,CARA,CAA01R301,4144667,"ADDITION OF TWO STORY WITH TOTAL AREA OF 954 sf, ATTACHED TO EXISTING DWELLING, INCLUDING KITCHEN AND ONE BEDROOM AT GROUND LEVEL WITH AREA OF 580 sf, LIVING AREA AT THE FIRST FLOOR WITH AREA OF 374 sf. Not an accessory apartment. Remains single family. Must have open and clear access to existing residence. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.    Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",29,-86.62381591,36.07411401,897,37217,-9642919.078,4310824.143
898,T2022025927,Building Residential - Rehab,Single Family Residence,7204004200,4/19/2022 5:00:00 AM,4/19/2022,,0,1414 SHELTON AVE,NASHVILLE,TN,LOT 8 BLK B INGLEWOOD GOLF CLUB EST,GEBHARDT CONSTRUCTION CO LLC,CARR,CAA01R301,4144782,"Remodeling existing home to include a primary bathroom and primary bedroom with attached screen porch. MHZC to review. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.  Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",7,-86.72181458,36.2087839,898,37216,-9653828.24,4329387.875
899,T2022025959,Temporary Building Use & Occupancy,Temporary Outdoor Sidewalk Cafe U&O,093060A00300CO,4/19/2022 5:00:00 AM,4/19/2022,,0,207 3RD AVE S,NASHVILLE,TN,"COMMERCIAL UNIT 3 ENCORE, A MASTER CONDOMINIUM",trenton timmons,CACU,CATP_SWC,4144830,application for sidewalk seating for jimmy johns. 2 tables with 8 total seats.,19,-86.77456705,36.15917904,899,37201,-9659700.618,4322546.326
900,T2022026037,Building Commercial - Rehab,"Medical Office, Professional Services",11603013400,4/20/2022 5:00:00 AM,4/20/2022,,244000,4515 HARDING PIKE 104,NASHVILLE,TN,LOT 4 ROYAL OAKS,julie nelligan,CACR,CAE04B016,4144943,"INTERIOR RENOVATION OF A 2,253 SQFT COMMERCIAL BUILDING MAINTAINED FOR BUSINESS USE. NEW  MECHANICAL, ELECTRICAL, AND PLUMBING COMPONENTS ARE PROPOSED. NO CHANGE TO USE GROUP, CONSTRUCTION TYPE, NUMBER OF STORIES, SQFT, EGRESS, OR PLUMBING FACILITIES.  POC Julie Nelligan",23,-86.84810101,36.12384533,900,37205,-9667886.381,4317675.707
901,T2022026174,Building Commercial - Rehab,"Retail, Department / Retail Stores",11714013500,4/20/2022 5:00:00 AM,4/20/2022,,107000,3901 HILLSBORO PIKE,NASHVILLE,TN,S W CORNER HILLSBORO PIKE AND ABBOTT MARTIN ROAD,MATT DIZK,CACR,CAF20M001,4145508,3rd party review  Interior remodel to add a Vanderbilt Health Clinic.  POC MATT DZIK  3rd Party Plan Review by Municipal Inspection Partners.,25,-86.8143834,36.10538414,901,37215,-9664132.954,4315131.773
902,T2022026103,Building Use & Occupancy,Master Permit Application,043130A90000CO,4/20/2022 5:00:00 AM,4/20/2022,,1,0 FOREST PARK RD,MADISON,TN,COMMON AREA ROBIN HOOD CONDOMINIUM,barry greer,CAUO,CAZ03A001,4145151,master permit for 54  units for Robin hood condominiums. no construction this permit.,9,-86.70420077,36.25569407,902,37115,-9651867.479,4335861.761
903,T2022026182,Building Residential - Roofing / Siding,"Multifamily, Condominium > 5 Unit Bldg",122010A52500CO,4/20/2022 5:00:00 AM,4/20/2022,,0,700 BRACKEN TRL,NASHVILLE,TN,UNIT 700 WOODLAND POINT SEC 8,LINCOLN HANCOCK RESTORATION LLC,CARK,CAA03R299,4145516,"REJECTED/CANCELLED. INCORRECT PERMIT TYPE. MUST RESUBMIT CACK PERMIT TYPE APPLICATION FOR EACH SEPERATE BUILDING.     Full Reroof of Buildings 1, 2, 4, 6, 7.   Re-side Building 3: 100 Squares.",13,-86.6276867,36.1215161,903,37214,-9643349.972,4317354.708
904,T2022026189,Building Residential - Rehab,Single Family Residence,6102014400,4/20/2022 5:00:00 AM,4/20/2022,,0,4427 SAUNDERS AVE,NASHVILLE,TN,LOT 117 SEC 2 GRA MAR ACRES,Stratton Exteriors,CARR,CAA01R301,4145559,"REJECTED: FRONT PORCH WORK REQUIRES A CARA PERMIT TYPE. A SITE PLAN IS REQUIRED SHOWING THE FRONT SETBACK TO THE NEW PORCH/CONCRETE PAD.  THE MAXIMUM FRONT SETBACK ON THIS PARCEL IS 90' MINIMUM. IF THE PORCH IS LESS A CONTEXTUAL SURVEY WILL BE REQUIRED TO DETERMINE THE FRONT SETBACK AND COMPLIANCE. THIS APP TO BE CANCELLED, WHEN SURVEY/SITE PLAN AVAILABLE RESUBMIT AS CARA.    Renovation project includes replacing the entire roof and gutters to match, remove the existing front porch, build new footers, new steps and concrete pad. Paint the interior and exterior of the home. This project's estimated construction costs are $76,950.00. There is not change to the original footprint of the house.",7,-86.73259165,36.23396293,904,37216,-9655027.938,4332862.25
905,T2022026195,Building Commercial - Rehab,Outpatient Clinic,8213015200,4/20/2022 5:00:00 AM,4/20/2022,,105000,1104 ROSA L PARKS BLVD,NASHVILLE,TN,L 31-32-101 PT 30&33 D.T.MCGAVOCK & L 8&9 CLEMMONS EMBUSH PL,MATT DZIK,CACR,CAE08B007,4145578,Interior remodel to add a Vanderbilt Health Clinic.  ***3rd Party Plan Review by Municipal Inspection Partners***    POC MATT DZIK.  MHZC AND MDHA OVERLAYS.,19,-86.79092573,36.17377464,905,37208,-9661521.658,4324558.915
906,T2022026199,Building Residential - Rehab,Duplex,13414000900,4/20/2022 5:00:00 AM,4/20/2022,,130000,339 LUNA DR,NASHVILLE,TN,LOT 70 SEC 3 LUNA HEIGHTS,PERAZA CONSTRUCTION DBA MARVIN PERAZA,CARR,CAA02R302,4145582,"to conduct interior renovations to existing structure to convert to duplex. no change to footprint.   ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",28,-86.69619957,36.08240637,906,37211,-9650976.79,4311966.294
907,T2022026307,Building Use & Occupancy,Master Permit Application,7210005900,4/20/2022 5:00:00 AM,4/20/2022,,0,2823 GALLATIN PIKE,NASHVILLE,TN,PT LOT 36 DOZIER PLACE,PAROS GROUP LLC,CAUO,CAZ03A001,4145804,MASTER PERMIT ONLY… … NO CONSTRUCTION… …RESIDENTIAL MULTI-FAMILY… …14 TOWNHOME RESIDENCES… …MUST COMPLY WITH UDO... ...,5,-86.73999486,36.20191889,907,37216,-9655852.059,4328440.788
908,T2022026313,Building Residential - Addition,Single Family Residence,14606001700,4/20/2022 5:00:00 AM,4/20/2022,,0,4915 FRANKLIN PIKE,NASHVILLE,TN,LOT A SEC 2 FIVE OAKS,E.L. Construction LLC,CARA,CAA01R301,4145810,REJECTED: MUST SUBMIT TO CITY OF HILL    Addition to existing home.,25,-86.77447777,36.07454748,908,37220,-9659690.679,4310883.845
909,T2022026259,Building Commercial - New,"Leasing / Sales Office, Other",6000002600,4/20/2022 5:00:00 AM,4/20/2022,,0,2909 D BRICK CHURCH PIKE,NASHVILLE,TN,E SIDE BRICK CHURCH PK S OF EWING DR,cory eldridge,CACN,CAD03B000,4145715,"to place temporary office trailer on site during development. not to be over any easemens.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",2,-86.77985559,36.2225777,909,37207,-9660289.335,4331291.099
910,T2022026387,Building Use & Occupancy,"Accessory Structure, Pools - Residential",1500008500,4/21/2022 5:00:00 AM,4/21/2022,,6000,2836 B UNION HILL RD,JOELTON,TN,N S UNION HILL RD E OF WILKERSON RD,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CAUO,CAA14U017,4146098,"To Install an above ground 24 ft accessory swimming pool to the rear of residences to comply with IRC fencing codes and the state of TN pool alarm laws. Interior parcel, 20’ ft side set back, 20’ft rear setbacks because of zoning.",1,-86.8479068,36.33147481,910,37080,-9667864.761,4346328.177
911,T2022026407,Building Use & Occupancy,Single Family Residence,9106017800,4/21/2022 5:00:00 AM,4/21/2022,,0,5611 MORROW RD,NASHVILLE,TN,S SIDE MORROW RD E OF 57TH AVENUE NORTH,JUSITN CRANDALL,CAUO,CAA01R301,4146196,"MASTER PERMIT NO CONSTURCTION THIS PERMIT  construct 22 detached single family homes. Min. Lot Area: 15,000 sq. ft. Max. Density: 9 units per acre Max. FAR: 0.60 Max. ISR: 0.70.  40’ Min. Street Setback.  20’ Min. Rear Setback. 10’ Min. Side Setback. 10’ Min. distance between bldgs. 20’ Max. Height at Setback Line.  2 to 1 Slope of Height Control Plane (V to H).    POC JUSTIN CRANDALL",20,-86.85684472,36.15973436,911,37209,-9668859.726,4322622.892
912,T2022026564,Building Demolition Permit,Demolition Permit - Residential,10503031400,4/21/2022 5:00:00 AM,4/21/2022,,12000,7 TRIMBLE ST,NASHVILLE,TN,LOT 103 TRIMBLES 1ST ADDN,MIKO INC,CADM,CAZ01A001,4146722,"Demolish an abandoned single family home at the Address of 7 Trimble St.  SP Zoning.  not to be burned on lot.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",17,-86.7624777,36.14633331,912,37210,-9658354.838,4320775.336
913,T2022026641,Building Sign Permit,Sign - Ground /  Wall Signs,3405011200,4/21/2022 5:00:00 AM,4/21/2022,,2200,1594 GALLATIN PIKE,MADISON,TN,LOT 1 RIVERGATE SQUARE RETAIL CENTER-1ST REV,HUFFINE FIRST SERVICE,CASN,CAZ02A001,4146954,"To erect 1 illuminated wall sign for Super Fiesta Latina Mercado. Size of wall sign to be 68.07sqft and not to exceed 15% of the façade.   UL#: SF5020083  Plans Review stamped plans attached in Cityworks.     TO COMPLY WITH 2018 IBC AND 2017 NEC.  POC: Crystal Ross, huffinefirstservice@yahoo.com, 615-624-2976",10,-86.70311349,36.29302462,913,37115,-9651746.444,4341016.379
914,T2022026651,Building Residential - Addition,"Accessory Structure, Decks",104160J00400CO,4/21/2022 5:00:00 AM,4/21/2022,,30000,1701 BLAIR BLVD 2,NASHVILLE,TN,UNIT 4 THE JENKINS,THIRD HILL CONSTRUCTION PLLC,CARA,CAA14U015,4146958,"Existing deck on roof top was attempted to be repaired and leveled by a contractor. This proceeded into roof leaks. The deck boards were removed and the roof repaired. New deck boards are to be installed along with partition/privacy walls between rooftop units. Walls are to be installed inside property boundary of the existing parapet wall.  SP and MHZC Overlays.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",18,-86.79590702,36.12949631,914,37212,-9662076.172,4318454.526
915,T2022026707,Building Residential - New,Single Family Residence,7105006100,4/22/2022 5:00:00 AM,4/22/2022,,422592,509 HAYNES ST,NASHVILLE,TN,LOT 24 E T BROWN SUB,"WINNERS GROUP INC, THE",CARN,CAA01R301,4147061,"3431 SQFT OF LIVING AREA … …572 SQFT OF DETTACHED GARAGE AREA… …274 SQFT PORCH/DECK AREA  5' min. side setback, 20' min. rear setback, front setback at 29.17' per average. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",2,-86.78861642,36.20593206,915,37207,-9661264.587,4328994.429
916,T2022026744,Building Residential - New,Single Family Residence,187010B04200CO,4/22/2022 5:00:00 AM,4/22/2022,,246123,4012 ORSMAN LN,ANTIOCH,TN,LOT 42 BURKITT RIDGE PH 3B,REGENT HOMES LLC,CARN,CAA01R301,4146912,"Burkitt Ridge 42 // to build a new singl family home with heated SQFT: 1844 and garage sqft:444 **PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code*",31,-86.66818451,35.99289505,916,37013,-9647858.168,4299643.786
917,T2022026760,Building Commercial - Roofing / Siding,"Retail, Department / Retail Stores",14712007200,4/22/2022 5:00:00 AM,4/22/2022,,41670,4807 NOLENSVILLE PIKE,NASHVILLE,TN,LOT 1 GEORGE HICKS SEC. 4,EAGLE TRADING INTERNATIONAL CORP,CACK,CAF20M001,4147137,To replace roofing on 2458 sqft non-residential building.    Poc: Jennifer Anderson 843-447-9000 x727  *** Plans Review stamped plans attached in Cityworks***,27,-86.71796771,36.06584905,917,37211,-9653400.008,4309685.887
918,T2022026761,Building Residential - Roofing / Siding,"General Office, Professional Services",5000007900,4/22/2022 5:00:00 AM,4/22/2022,,25812484,3441 DICKERSON PIKE,NASHVILLE,TN,E. SIDE DICKERSON PIKE S. OF DUE WEST AVENUE,EMPIRE ROOFING INC,CARK,CAD02B016,4147134,Replacing roof membrane and sheet metal at hospital,8,-86.75037679,36.24513008,918,37207,-9657007.77,4334403.527
919,T2022026831,Building Residential - New,Single Family Residence,8110035000,4/22/2022 5:00:00 AM,4/22/2022,,342254,1623 23RD AVE N,NASHVILLE,TN,PT LOT 12 GEORGIA IND. REALTY CO.,ARTISAN BUILD CONSTRUCT LLC,CARN,CAA01R301,4147217,"New construction of a 2760 sqft home with 316Sf porches.  5' min. side setback. 20' min. rear setback, front setback at 33.1' per avg. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",21,-86.81387795,36.17635867,919,37208,-9664076.687,4324915.266
920,T2022026950,Building Sign Permit,Sign - Ground /  Wall Signs,093063A00300CO,4/22/2022 5:00:00 AM,4/22/2022,,4000,5014 BROADWAY PL,NASHVILLE,TN,RETAIL UNIT FIFTH & BROADWAY,HUFFINE FIRST SERVICE,CASN,CAZ02A001,4147566,"To erect 1 illuminated wall sign and 1 illuminated blade sign for Lip Lab. Size of wall sign to be 12.95sqft and size of wall sign to be 2.75sqft. Blade sign not to project over the ROW.    POC: Crystal Ross, huffinefirstservice@yahoo.com, 615-624-2976  *** Plans Review stamped plans attached in Cityworks***",19,-86.7794335,36.16110495,920,37203,-9660242.349,4322811.868
